iter	Passed	Remaining
768	1792	538
769	1794	535
770	1795	533
771	1797	530
772	1798	528
773	1800	525
774	1801	523
775	1803	520
776	1805	518
777	1806	515
778	1808	513
779	1809	510
780	1811	507
781	1813	505
782	1815	503
783	1817	500
784	1818	498
785	1820	495
786	1822	493
787	1824	490
788	1825	488
789	1827	485
790	1829	483
791	1831	480
792	1832	478
793	1834	475
794	1835	473
795	1837	470
796	1839	468
797	1840	465
798	1842	463
799	1843	460
800	1845	458
801	1846	455
802	1848	453
803	1849	450
804	1851	448
805	1853	446
806	1854	443
807	1856	441
808	1858	438
809	1859	436
810	1861	433
811	1862	431
812	1864	428
813	1866	426
814	1868	424
815	1869	421
816	1871	419
817	1872	416
818	1874	414
819	1876	411
820	1877	409
821	1879	406
822	1880	404
823	1882	402
824	1884	399
825	1885	397
826	1887	394
827	1888	392
828	1890	389
829	1892	387
830	1893	385
831	1895	382
832	1897	380
833	1898	377
834	1900	375
835	1901	373
836	1903	370
837	1905	368
838	1906	365
839	1908	363
840	1909	361
841	1911	358
842	1913	356
843	1914	353
844	1916	351
845	1917	349
846	1919	346
847	1920	344
848	1922	341
849	1924	339
850	1925	337
851	1927	334
852	1929	332
853	1930	330
854	1932	327
855	1933	325
856	1935	322
857	1936	320
858	1938	318
859	1940	315
860	1944	313
861	1950	312
862	1952	309
863	1954	307
864	1955	305
865	1957	302
866	1959	300
867	1960	298
868	1962	295
869	1964	293
870	1966	291
871	1968	288
872	1970	286
873	1971	284
874	1973	281
875	1975	279
876	1976	277
877	1978	274
878	1980	272
879	1982	270
880	1983	267
881	1985	265
882	1987	263
883	1989	261
884	1990	258
885	1992	256
886	1993	253
887	1995	251
888	1997	249
889	1998	247
890	2000	244
891	2001	242
892	2003	240
893	2005	237
894	2006	235
895	2008	233
896	2010	230
897	2011	228
898	2013	226
899	2014	223
900	2016	221
901	2018	219
902	2019	216
903	2021	214
904	2022	212
905	2024	210
906	2025	207
907	2027	205
908	2029	203
909	2030	200
910	2032	198
911	2033	196
912	2035	193
913	2036	191
914	2038	189
915	2040	187
916	2041	184
917	2043	182
918	2044	180
919	2046	177
920	2047	175
921	2049	173
922	2051	171
923	2052	168
924	2054	166
925	2056	164
926	2059	162
927	2062	160
928	2064	157
929	2069	155
930	2071	153
931	2072	151
932	2074	148
933	2076	146
934	2078	144
935	2080	142
936	2084	140
937	2085	137
938	2087	135
939	2089	133
940	2090	131
941	2092	128
942	2093	126
943	2095	124
944	2097	122
945	2098	119
946	2100	117
947	2101	115
948	2103	113
949	2105	110
950	2106	108
951	2108	106
952	2109	104
953	2111	101
954	2112	99
955	2114	97
956	2116	95
957	2117	92
958	2119	90
959	2120	88
960	2122	86
961	2124	83
962	2125	81
963	2127	79
964	2129	77
965	2130	74
966	2132	72
967	2133	70
968	2135	68
969	2137	66
970	2138	63
971	2140	61
972	2141	59
973	2143	57
974	2145	55
975	2147	52
976	2149	50
977	2151	48
978	2152	46
979	2154	43
980	2156	41
981	2157	39
982	2159	37
983	2160	35
984	2162	32
985	2163	30
986	2165	28
987	2167	26
988	2168	24
989	2170	21
990	2172	19
991	2173	17
992	2175	15
993	2177	13
994	2178	10
995	2180	8
996	2181	6
997	2183	4
998	2185	2
999	2186	0
